1;Leokadia;Lach;ll35804@klient.biblioteka.pl;nłę_ź$ók0__ptkmpń;661817424
2;Fryderyk;Czech;fc11446@klient.biblioteka.pl;1rp@o025hda;258902946
3;Brajan;Świątek;bś76060@klient.biblioteka.pl;ństwhi@zz;941392115
4;Alina;Zielińska;az47185@klient.biblioteka.pl;c27vc?8yjć!;189794434
5;Przemysław;Borowiec;pb52095@klient.biblioteka.pl;drl?ićo&ą@fp%sf;694129391
6;Kacper;Kędzierski;kk73899@klient.biblioteka.pl;2xpsź1*#źf7q;500142655
7;Arkadiusz;Bieniek;ab79455@klient.biblioteka.pl;ży?śęjvl&fwn;664289931
8;Samanta;Więcek;sw26145@klient.biblioteka.pl;ń8ełvnxeą04@&k&ou;653522997
9;Hanna;Wieczorek;hw59682@klient.biblioteka.pl;&&ynłxuś4ł*g;594028638
10;Kacper;Janus;kj25722@klient.biblioteka.pl;łake^śęó;956039951
11;Maximilian;Przybylski;mp30803@klient.biblioteka.pl;c^4!&ę&sosoatnii^ź;555224662
12;Marcin;Kulig;mk42863@klient.biblioteka.pl;7ć!ak3u60ź%n;952140012
13;Honorata;Kaczmarczyk;hk64544@klient.biblioteka.pl;5isgakńźuf;202745488
14;Alicja;Marek;am48503@klient.biblioteka.pl;fżxążżdózwźld;391269808
15;Gertruda;Przybylska;gp64539@klient.biblioteka.pl;ju2f151-łęhcf&t;378970599
16;Klara;Wesołowska;kw82060@klient.biblioteka.pl;óło!łeąxó;671246967
17;Sonia;Jastrzębska;sj43007@klient.biblioteka.pl;zzżn*z1-b;832314455
18;Witold;Czyżewski;wc50343@klient.biblioteka.pl;ouńzhń1ćńąoh$kó;440950439
19;Bartłomiej;Jurek;bj88270@klient.biblioteka.pl;smźbja6p2n;785111690
20;Kamil;Chmielewski;kc56420@klient.biblioteka.pl;o%l4iumy6gkytd5^z^;711026121
21;Konrad;Podgórski;kp81331@klient.biblioteka.pl;obi^rrf$dmó^8ąńżą3oę;656120369
22;Vladyslav;Kuś;vk59133@klient.biblioteka.pl;ę4lgłdą3g9cevćgy;726063787
23;Natalia;Nowakowska;nn71812@klient.biblioteka.pl;#-*kf1zpwćźqś38;552834904
24;Ryszard;Winiarski;rw59326@klient.biblioteka.pl;c93?-2śkąqoż$l-?hrr;812430940
25;Emilia;Orzechowska;eo32078@klient.biblioteka.pl;fpbsń5q@gpżtir0x$!;804062667
26;Alicja;Buczek;ab36936@klient.biblioteka.pl;#fyłęnhs0oż_dmfąlań;500457400
27;Marcelina;Górniak;mg41174@klient.biblioteka.pl;m26ąąp8k-9^uywą?0pó;483927965
28;Malwina;Michalak;mm32066@klient.biblioteka.pl;c$_oęąguo-k;874568531
29;Pavel;Chrzanowski;pc36186@klient.biblioteka.pl;s4q^8!źętfwy-;690701021
30;Alfons;Matysiak;am67214@klient.biblioteka.pl;śvyyki!$ę;528203975
31;Thomas;Kubacki;tk90077@klient.biblioteka.pl;$psę@ą*$b71uxzo&ł^!h;575175033
32;Artem;Tkaczyk;at32736@klient.biblioteka.pl;jqśol0d%uo^&2nvł0o!g;947733378
33;Matylda;Wolak;mw49693@klient.biblioteka.pl;ż&ęaaż4xśc#wmożl5nż?;125485090
34;Faustyna;Cholewa;fc03633@klient.biblioteka.pl;ćqv64^udt9;939851021
35;Klaudiusz;Gąsiorowski;kg27654@klient.biblioteka.pl;dć8kfoźn;128460521
